total testcases: 843
coverage_c=1407, time_used=4855309
coverage_c=1407, time_used=4915645
coverage_c=1407, time_used=4799647
coverage_c=1407, time_used=3454115
Exception 发生了, [Errno 111] Connection refused
coverage_c=1407, time_used=2773342
coverage_c=1407, time_used=4811829
coverage_c=1407, time_used=4837675
coverage_c=1407, time_used=5388995
coverage_c=1407, time_used=4955592
coverage_c=1407, time_used=4813961
coverage_c=1407, time_used=4863656
coverage_c=1407, time_used=4864336
coverage_c=1407, time_used=2574107
coverage_c=1407, time_used=4881402
coverage_c=1407, time_used=4052045
coverage_c=1407, time_used=9474506
coverage_c=1407, time_used=3021016
coverage_c=1407, time_used=12280400
coverage_c=1407, time_used=8265583
coverage_c=1407, time_used=12177020
coverage_c=1407, time_used=8544746
coverage_c=1407, time_used=5014730
coverage_c=1407, time_used=2780817
coverage_c=1407, time_used=3115186
coverage_c=1407, time_used=2512812
coverage_c=1407, time_used=4732622
coverage_c=1407, time_used=3029444
coverage_c=1407, time_used=4830800
coverage_c=1407, time_used=4713069
coverage_c=1407, time_used=4832438
coverage_c=1407, time_used=4778015
coverage_c=1407, time_used=4874071
coverage_c=1407, time_used=4331190
coverage_c=1407, time_used=3188519
coverage_c=1407, time_used=4839164
coverage_c=1407, time_used=3957145
coverage_c=1407, time_used=3443974
coverage_c=1407, time_used=2822322
coverage_c=1407, time_used=3733505
coverage_c=1407, time_used=9834758
coverage_c=1417, time_used=12492228
coverage_c=1417, time_used=14933573
coverage_c=1417, time_used=5151839
coverage_c=1417, time_used=12147117
coverage_c=1417, time_used=4851764
coverage_c=1417, time_used=4852241
coverage_c=1417, time_used=4889611
coverage_c=1417, time_used=4452504
coverage_c=1417, time_used=2302321
coverage_c=1417, time_used=8255062
coverage_c=1417, time_used=6827124
coverage_c=1417, time_used=7283556
coverage_c=1417, time_used=6492921
coverage_c=1417, time_used=9469891
coverage_c=1417, time_used=9392152
coverage_c=1417, time_used=2787247
coverage_c=1417, time_used=4637431
coverage_c=1417, time_used=1904113
coverage_c=1417, time_used=4841741
coverage_c=1417, time_used=4801594
coverage_c=1417, time_used=2472902
coverage_c=1417, time_used=4786189
coverage_c=1417, time_used=4820663
coverage_c=1417, time_used=4897562
coverage_c=1417, time_used=3479523
coverage_c=1417, time_used=4797840
coverage_c=1417, time_used=4781117
coverage_c=1417, time_used=4094867
coverage_c=1417, time_used=4829900
