time_used(ms), py_cov, coverage_time_used(ms)
89167.73009300232, 2669, 4.267129
89185.54830551147, 2669, 7.079944
89202.40592956543, 2669, 6.012359
89217.90885925293, 2669, 4.826436
89232.5644493103, 2669, 4.434743
89246.12927436829, 2669, 3.300594
89259.91868972778, 2669, 3.548533
89272.93229103088, 2669, 2.784809
89286.7238521576, 2669, 3.539633
89300.68707466125, 2669, 3.679689
89314.23711776733, 2669, 3.313581
89327.79359817505, 2669, 3.398553
89341.30811691284, 2669, 3.285512
89355.7641506195, 2669, 4.200358
89369.85230445862, 2669, 3.797904
89386.06286048889, 2669, 5.984689
89399.79147911072, 2669, 3.548713
89413.54656219482, 2669, 3.511219
89427.43682861328, 2669, 3.723571
89441.71524047852, 2669, 3.994458
89454.95009422302, 2669, 2.989399
89468.60527992249, 2669, 3.370082
89482.2244644165, 2669, 3.319916
89496.92034721375, 2669, 4.373766
89511.62075996399, 2669, 4.431315
89525.18153190613, 2669, 3.403797
89539.48950767517, 2669, 4.069408
89553.24411392212, 2669, 3.509039
89567.18945503235, 2669, 3.663929
89580.69777488708, 2669, 3.297048
89594.12693977356, 2669, 3.186863
89607.74564743042, 2669, 3.307202
89623.11840057373, 2669, 5.081958
89635.63919067383, 2669, 2.18564
89648.77820014954, 2669, 2.829944
89661.91411018372, 2669, 2.819106
89675.06074905396, 2669, 2.82566
89688.22813034058, 2669, 2.844953
89701.41077041626, 2669, 2.850942
89714.50924873352, 2669, 2.787283
89727.49924659729, 2669, 2.767444
89740.84377288818, 2669, 3.009058
89754.28318977356, 2669, 3.11542
89767.42005348206, 2669, 2.794701
89780.89332580566, 2669, 3.152076
89795.82405090332, 2669, 4.637379
89808.70151519775, 2669, 2.569119
89821.21634483337, 2669, 2.290317
89833.72950553894, 2669, 2.263071
89847.14412689209, 2669, 3.058305
89860.27932167053, 2669, 2.79439
89873.44598770142, 2669, 2.852619
89886.55233383179, 2669, 2.787232
89899.73068237305, 2669, 2.806508
89913.1863117218, 2669, 3.132601
89926.27120018005, 2669, 2.82901
89939.27955627441, 2669, 2.754493
89952.38256454468, 2669, 2.778593
89965.59810638428, 2669, 2.89396
89978.87921333313, 2669, 3.03247
89992.10810661316, 2669, 2.907316
90005.27691841125, 2669, 2.844455
90018.37539672852, 2669, 2.783802
90031.48746490479, 2669, 2.784315
90044.68441009521, 2669, 2.943445
90057.8134059906, 2669, 2.824142
90071.29764556885, 2669, 3.187321
90084.51080322266, 2669, 2.870637
90097.66483306885, 2669, 2.84683
90110.71372032166, 2669, 2.803927
90123.90732765198, 2669, 2.897007
90137.08114624023, 2669, 2.858857
90150.18391609192, 2669, 2.777884
90163.32030296326, 2669, 2.840736
90176.32532119751, 2669, 2.761142
90189.83626365662, 2669, 3.179964
90203.5014629364, 2669, 3.381999
90216.94660186768, 2669, 3.162201
90231.72760009766, 2669, 4.527559
90249.19605255127, 2669, 7.273832
90265.04850387573, 2669, 5.624313
90281.03685379028, 2669, 5.700894
90294.19040679932, 2669, 2.863895
90306.80513381958, 2669, 2.351637
90319.90432739258, 2669, 2.78932
90333.01138877869, 2669, 2.81081
90346.17042541504, 2669, 2.846212
90359.2119216919, 2669, 2.739431
90372.35736846924, 2669, 2.768407
90385.5607509613, 2669, 2.868359
90398.65183830261, 2669, 2.785594
90411.74960136414, 2669, 2.792285
90425.72474479675, 2669, 3.581454
90440.60635566711, 2669, 4.565127
90453.40466499329, 2669, 2.516371
90466.45712852478, 2669, 2.767762
90479.52651977539, 2669, 2.771414
90493.5975074768, 2669, 3.771701
90506.67977333069, 2669, 2.793298
90519.81925964355, 2669, 2.843582
90532.91583061218, 2669, 2.79254
90546.91219329834, 2669, 3.695797
90560.23859977722, 2669, 3.113173
90573.55523109436, 2669, 3.014313
90586.69304847717, 2669, 2.823784
90601.02725028992, 2669, 4.013748
90614.51172828674, 2669, 3.229331
90628.38220596313, 2669, 3.657428
90643.14913749695, 2669, 4.538865
90658.08463096619, 2669, 4.693794
90672.44458198547, 2669, 4.183455
90686.41948699951, 2669, 3.643429
90699.55062866211, 2669, 2.939568
90716.85576438904, 2669, 7.106373
90730.27205467224, 2669, 3.157084
90747.53308296204, 2669, 7.132098
90762.65501976013, 2669, 4.996203
90779.35028076172, 2669, 6.567786
90795.74751853943, 2669, 6.189366
90810.50181388855, 2669, 4.611791
90826.78937911987, 2669, 6.117084
90840.7096862793, 2669, 3.703946
90854.1259765625, 2669, 3.29195
90867.43783950806, 2669, 3.135774
90882.01260566711, 2669, 4.45084
90897.56727218628, 2669, 5.294356
90910.05635261536, 2669, 2.211742
90923.89583587646, 2669, 3.57945
90938.67683410645, 2669, 4.507078
90951.56741142273, 2669, 2.686853
90964.66994285583, 2669, 2.835558
90977.88166999817, 2669, 2.93323
90991.24670028687, 2669, 3.083561
91004.30917739868, 2669, 2.772433
91018.24402809143, 2669, 3.718735
91031.18538856506, 2669, 2.711781
91044.17204856873, 2669, 2.76753
91057.1928024292, 2669, 2.758686
91071.89321517944, 2669, 4.403725
91084.9256515503, 2669, 2.80806
91097.60284423828, 2669, 2.467331
91112.0879650116, 2669, 4.310434
91125.94985961914, 2669, 3.580626
91138.60011100769, 2669, 2.422758
91151.61299705505, 2669, 2.75417
91164.59274291992, 2669, 2.766606
91177.76155471802, 2669, 2.886975
91191.25294685364, 2669, 3.28175
91204.81848716736, 2669, 3.36828
91218.1465625763, 2669, 3.218423
91231.0791015625, 2669, 2.825765
91243.31879615784, 2669, 2.122947
91256.1948299408, 2669, 2.718056
91269.33598518372, 2669, 2.864844
91282.4981212616, 2669, 2.883027
91295.49551010132, 2669, 2.719868
91308.55083465576, 2669, 2.750884
91322.01409339905, 2669, 3.188726
91334.69653129578, 2669, 2.403305
91347.06592559814, 2669, 2.124669
91360.07571220398, 2669, 2.746999
91374.60207939148, 2669, 4.240527
91388.17477226257, 2669, 3.291646
91407.6681137085, 2669, 1.960734
91419.30437088013, 2669, 1.516754
91431.68258666992, 2669, 2.196353
91447.68404960632, 2669, 5.790287
91463.40703964233, 2669, 5.508739
91477.35333442688, 2669, 3.710394
91490.3757572174, 2669, 2.748126
91503.42226028442, 2669, 2.770735
91516.73936843872, 2669, 3.021377
91530.23052215576, 2669, 3.297013
91542.89412498474, 2669, 2.449834
91555.88746070862, 2669, 2.728156
91568.91703605652, 2669, 2.753374
91581.92253112793, 2669, 2.720311
91594.91515159607, 2669, 2.724049
91607.91158676147, 2669, 2.723361
91620.94497680664, 2669, 2.755063
91633.9738368988, 2669, 2.752789
91647.23706245422, 2669, 3.00152
91660.12859344482, 2669, 2.707215
91673.15816879272, 2669, 2.752594
91688.1594657898, 2669, 4.72535
91701.94911956787, 2669, 3.588384
91715.51561355591, 2669, 3.07685
91728.520154953, 2669, 2.656522
91740.66162109375, 2669, 1.906158
91753.6928653717, 2669, 2.829651
91768.45455169678, 2669, 4.504642
91781.87012672424, 2669, 3.137954
91794.71063613892, 2669, 2.602073
91806.77103996277, 2669, 1.796484
91819.4830417633, 2669, 2.541227
91832.52501487732, 2669, 2.746774
91845.87907791138, 2669, 3.162864
91858.84094238281, 2669, 2.754112
91871.901512146, 2669, 2.792236
91884.93657112122, 2669, 2.759881
91897.94731140137, 2669, 2.740587
91910.98093986511, 2669, 2.758013
91923.9809513092, 2669, 2.714823
91937.16335296631, 2669, 2.760992
91950.41179656982, 2669, 2.769513
91963.76824378967, 2669, 2.878675
91977.0097732544, 2669, 2.742382
91990.22722244263, 2669, 2.740263
92003.48830223083, 2669, 2.746388
92017.25101470947, 2669, 3.348587
92031.56924247742, 2669, 3.911903
92046.13041877747, 2669, 4.306905
92061.288356781, 2669, 4.917238
92076.78985595703, 2669, 5.246652
92091.9418334961, 2669, 4.871075
92108.12282562256, 2669, 5.915199
92123.14367294312, 2669, 4.698767
92139.5652294159, 2669, 6.030411
92153.59210968018, 2669, 3.64871
92167.88411140442, 2669, 4.027754
92181.15663528442, 2669, 2.969465
92194.81778144836, 2669, 3.470305
92211.72499656677, 2669, 6.66284
92228.01876068115, 2669, 6.023217
92243.53218078613, 2669, 5.247851
92259.28163528442, 2669, 5.481138
92272.88627624512, 2669, 3.184873
92285.42709350586, 2669, 2.180612
92298.38156700134, 2669, 2.53522
92311.66529655457, 2669, 2.753889
92325.0424861908, 2669, 2.819006
92338.36650848389, 2669, 2.780083
92351.61876678467, 2669, 2.769573
92364.9673461914, 2669, 2.803345
92378.30758094788, 2669, 2.842637
92391.66641235352, 2669, 2.760805
92405.0486087799, 2669, 2.802492
92418.41554641724, 2669, 2.797559
92431.72454833984, 2669, 2.767129
92445.03116607666, 2669, 2.791265
92458.31727981567, 2669, 2.754018
92472.15461730957, 2669, 3.29403
92487.3116016388, 2669, 4.579954
92505.83338737488, 2669, 8.07368
92519.2358493805, 2669, 3.093879
92533.34403038025, 2669, 3.797316
92548.09832572937, 2669, 4.360252
92561.59162521362, 2669, 3.130155
92579.29062843323, 2669, 7.366185
92596.2495803833, 2669, 6.675028
92610.61906814575, 2669, 3.88456
92624.75800514221, 2669, 3.568841
92639.8024559021, 2669, 4.65839
92653.56612205505, 2669, 3.341936
92667.43469238281, 2669, 3.599465
92681.7820072174, 2669, 3.9803
92694.82827186584, 2669, 2.733467
92708.7619304657, 2669, 3.522078
92721.41075134277, 2669, 2.148747
92733.5729598999, 2669, 1.753303
92747.87449836731, 2669, 3.935655
92762.85743713379, 2669, 4.544005
92776.66664123535, 2669, 3.42889
92794.83366012573, 2669, 7.824972
92813.40885162354, 2669, 5.444147
92828.55296134949, 2669, 4.781793
92846.21548652649, 2669, 7.332848
92862.7655506134, 2669, 6.16602
92877.74991989136, 2669, 4.641788
92892.4331665039, 2669, 4.295665
92906.19134902954, 2669, 3.310359
92921.56958580017, 2669, 5.053812
92940.0155544281, 2669, 8.116194
92957.0369720459, 2669, 6.653776
92972.8455543518, 2669, 5.473981
92989.34555053711, 2669, 6.163159
93005.98883628845, 2669, 6.294199
93021.01397514343, 2669, 4.715317
93037.46461868286, 2669, 6.167989
93053.90334129333, 2669, 5.506734
93071.74038887024, 2669, 7.523776
93087.64052391052, 2669, 5.553971
93102.78654098511, 2669, 4.805257
93119.877576828, 2669, 6.931154
93134.30857658386, 2669, 4.045594
93147.54557609558, 2669, 2.82487
93159.62314605713, 2669, 1.730045
93172.27625846863, 2669, 2.228414
93185.71257591248, 2669, 3.023308
93199.21565055847, 2669, 2.962337
93212.60619163513, 2669, 2.853108
93228.24788093567, 2669, 3.710874
93241.96290969849, 2669, 3.503028
93255.29360771179, 2669, 3.071987
93269.1445350647, 2669, 3.517544
93282.43947029114, 2669, 2.980818
93295.84074020386, 2669, 3.063244
93309.54885482788, 2669, 3.321711
93323.16279411316, 2669, 3.076339
93336.77005767822, 2669, 3.034485
93350.14867782593, 2669, 2.78152
93363.61908912659, 2669, 2.920007
93376.39236450195, 2669, 2.342563
93389.37568664551, 2669, 2.639356
93401.6284942627, 2669, 1.986999
93414.21604156494, 2669, 2.469847
93426.66268348694, 2669, 2.302714
93439.6185874939, 2669, 2.842984
93451.92527770996, 2669, 2.19291
93464.98680114746, 2669, 2.836857
93477.03218460083, 2669, 1.917156
93489.91346359253, 2669, 2.37466
93502.33936309814, 2669, 2.12375
93515.01607894897, 2669, 2.529016
93526.84259414673, 2669, 1.718228
93538.91086578369, 2669, 1.937331
93551.88012123108, 2669, 2.847979
93563.93527984619, 2669, 1.93795
93577.59737968445, 2669, 3.539082
93592.92483329773, 2669, 4.293619
93610.05902290344, 2669, 6.963755
93623.81601333618, 2669, 3.302719
